mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	thoroughbass_duration	thoroughbass_level_1
5	5	17	17	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	#
5	5	17	17	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	30		
5	5	18	18	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	31		
6	6	21	21	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	32		
6	6	22	22	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	33		
6	6	23	23	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	34		
6	6	21	21	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	35		
6	6	22	22	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	36		
6	6	23	23	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/4	#
6	6	23	23	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	37		
7	7	24	24	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	38		
7	7	25	25	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	39		
7	7	26	26	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	40		
7	7	27	27	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	41		
7	7	24	24	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	42		
7	7	25	25	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	43		
7	7	26	26	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	44		
7	7	53/2	53/2	0.0	5/8	5/8	FiguredBass	4/4	2	1	0				1/8	_
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	45		
7	7	27	27	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/4	6
7	7	27	27	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	46		
8	8	28	28	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	47		
8	8	31	31	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	48		
8	8	28	28	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	49		
8	8	31	31	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	50		
9	9	32	32	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	51		
9	9	33	33	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	52		
9	9	34	34	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	53		
9	9	32	32	0.0	0	0	FiguredBass	4/4	2	1	0				1/4	6
9	9	32	32	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	54		
9	9	33	33	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	5
9	9	33	33	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	55		
9	9	34	34	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/2	#
9	9	34	34	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	56		
10	10	37	37	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	57		
10	10	38	38	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	58		
10	10	39	39	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	59		
10	10	37	37	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	#
10	10	37	37	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	60		
10	10	38	38	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	4\
10	10	38	38	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	61		
10	10	39	39	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	62		
11	11	40	40	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	63		
11	11	41	41	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	64		
11	11	42	42	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	65		
11	11	43	43	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	66		
11	11	40	40	0.0	0	0	FiguredBass	4/4	2	1	0				1/4	6
11	11	40	40	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	67		
11	11	41	41	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	#
11	11	41	41	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	68		
11	11	42	42	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	6\
11	11	42	42	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	69		
11	11	43	43	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/4	#
11	11	43	43	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	70		
12	12	44	44	4.0	0	0	Chord	4/4	1	1	1	1	1	71		
12	12	44	44	4.0	0	0	Chord	4/4	2	1	1	1	1	72		
