mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	thoroughbass_duration	thoroughbass_level_1
1	1	0	0	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	0		
1	1	1	1	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	1		
1	1	2	2	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	2		
1	1	3	3	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	3		
1	1	0	0	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	4		
1	1	1	1	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	5		
1	1	2	2	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	6		
1	1	3	3	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	7		
2	2	4	4	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	8		
2	2	9/2	9/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	9		
2	2	5	5	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	10		
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	11		
2	2	4	4	0.0	0	0	FiguredBass	4/4	2	1	0				1/4	#
2	2	4	4	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	12		
2	2	5	5	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	13		
2	2	6	6	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	14		
3	3	8	8	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	15		
3	3	9	9	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	16		
3	3	10	10	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	17		
3	3	11	11	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	18		
3	3	8	8	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	19		
3	3	9	9	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	20		
3	3	10	10	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	6
3	3	10	10	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	21		
3	3	11	11	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/4	6
3	3	11	11	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	22		
4	4	12	12	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	23		
4	4	13	13	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	24		
4	4	14	14	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	25		
4	4	12	12	0.0	0	0	FiguredBass	4/4	2	1	0				1/4	6
4	4	12	12	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	26		
4	4	13	13	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	27		
4	4	14	14	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	28		
5	5	16	16	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	29		
5	5	17	17	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	30		
5	5	18	18	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	31		
5	5	19	19	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	32		
5	5	16	16	0.0	0	0	FiguredBass	4/4	2	1	0				1/4	6
5	5	16	16	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	33		
5	5	17	17	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	6
5	5	17	17	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	34		
5	5	18	18	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	35		
5	5	19	19	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	36		
6	6	20	20	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	37		
6	6	41/2	41/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	38		
6	6	21	21	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	39		
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	40		
6	6	20	20	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	41		
6	6	21	21	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	#
6	6	21	21	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	42		
6	6	22	22	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	43		
7	7	24	24	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	44		
7	7	25	25	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	45		
7	7	26	26	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	46		
7	7	27	27	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	47		
7	7	24	24	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	48		
7	7	25	25	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	49		
7	7	26	26	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	50		
7	7	27	27	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	51		
8	8	28	28	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	52		
8	8	57/2	57/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	53		
8	8	29	29	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	54		
8	8	30	30	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	55		
8	8	28	28	0.0	0	0	FiguredBass	4/4	2	1	0				1/4	#
8	8	28	28	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	56		
8	8	29	29	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	57		
8	8	30	30	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	58		
